noise_type,noise_level,noise_percent,method,accuracy_mean,accuracy_std
bit_flip,0.0,0.0,No selection,0.8093333333333333,0.00543650214343333
bit_flip,0.01,1.0,No selection,0.7926666666666667,0.007586537784494035
bit_flip,0.03,3.0,No selection,0.7640000000000001,0.0021602468994692888
bit_flip,0.05,5.0,No selection,0.745,0.007483314773547889
bit_flip,0.1,10.0,No selection,0.6779999999999999,0.017146428199482217
bit_flip,0.0,0.0,Raw l1,0.7896666666666667,0.005792715732327594
bit_flip,0.01,1.0,Raw l1,0.7636666666666666,0.0024944382578492965
bit_flip,0.03,3.0,Raw l1,0.735,0.006480740698407866
bit_flip,0.05,5.0,Raw l1,0.7143333333333333,0.011585431464655188
bit_flip,0.1,10.0,Raw l1,0.6463333333333333,0.022095751225568755
bit_flip,0.0,0.0,Graph-aware l1,0.7879999999999999,0.0065319726474218145
bit_flip,0.01,1.0,Graph-aware l1,0.775,0.006976149845485456
bit_flip,0.03,3.0,Graph-aware l1,0.7483333333333334,0.012710450643291757
bit_flip,0.05,5.0,Graph-aware l1,0.7146666666666667,0.013767917618708934
bit_flip,0.1,10.0,Graph-aware l1,0.6736666666666666,0.018517259216441515
bit_flip,0.0,0.0,Raw mutual_info,0.7680000000000001,0.013490737563232054
bit_flip,0.01,1.0,Raw mutual_info,0.7493333333333334,0.01641814714136635
bit_flip,0.03,3.0,Raw mutual_info,0.7086666666666667,0.020531818125912624
bit_flip,0.05,5.0,Raw mutual_info,0.6813333333333333,0.01673983937265293
bit_flip,0.1,10.0,Raw mutual_info,0.5973333333333334,0.0396848697728604
bit_flip,0.0,0.0,Graph-aware mutual_info,0.7933333333333333,0.009285592184789422
bit_flip,0.01,1.0,Graph-aware mutual_info,0.7680000000000001,0.007071067811865481
bit_flip,0.03,3.0,Graph-aware mutual_info,0.7199999999999999,0.008524474568362955
bit_flip,0.05,5.0,Graph-aware mutual_info,0.6919999999999998,0.009416297927883647
bit_flip,0.1,10.0,Graph-aware mutual_info,0.6406666666666666,0.025927248643506765
bit_flip,0.0,0.0,PCA,0.7840000000000001,0.006976149845485456
bit_flip,0.01,1.0,PCA,0.755,0.012355835328567103
bit_flip,0.03,3.0,PCA,0.7293333333333333,0.00659966329107445
bit_flip,0.05,5.0,PCA,0.6916666666666665,0.003299831645537225
bit_flip,0.1,10.0,PCA,0.644,0.018708286933869726
bit_flip,0.0,0.0,Autoencoder,0.7516666666666666,0.009977753031397186
bit_flip,0.01,1.0,Autoencoder,0.6846666666666668,0.008956685895029558
bit_flip,0.03,3.0,Autoencoder,0.5823333333333333,0.02023747898221402
bit_flip,0.05,5.0,Autoencoder,0.5396666666666667,0.019136933459209783
bit_flip,0.1,10.0,Autoencoder,0.4366666666666667,0.004496912521077351
bit_flip,0.0,0.0,Learned mask,0.766,0.016753109164172098
bit_flip,0.01,1.0,Learned mask,0.7080000000000001,0.021463146709340297
bit_flip,0.03,3.0,Learned mask,0.6753333333333332,0.023584363935078276
bit_flip,0.05,5.0,Learned mask,0.6593333333333334,0.021312489817527727
bit_flip,0.1,10.0,Learned mask,0.5783333333333333,0.013021349989749699
