Noise Type      | Noise Level | Method                  | Accuracy Mean | Accuracy Std
feature_dropout | 0.1 (10%)   | Graph-aware mutual_info | 0.7853        | 0.0078      
feature_dropout | 0.2 (20%)   | Graph-aware mutual_info | 0.7770        | 0.0161      
feature_dropout | 0.3 (30%)   | Graph-aware mutual_info | 0.7693        | 0.0071      
feature_dropout | 0 (0%)      | PCA                     | 0.7840        | 0.0070      
feature_dropout | 0.05 (5%)   | PCA                     | 0.7823        | 0.0068      
feature_dropout | 0.1 (10%)   | PCA                     | 0.7800        | 0.0094      
feature_dropout | 0.2 (20%)   | PCA                     | 0.7763        | 0.0054      
feature_dropout | 0.3 (30%)   | PCA                     | 0.7703        | 0.0017      
feature_dropout | 0 (0%)      | Autoencoder             | 0.7517        | 0.0100      
feature_dropout | 0.05 (5%)   | Autoencoder             | 0.7300        | 0.0126      
feature_dropout | 0.1 (10%)   | Autoencoder             | 0.7240        | 0.0051      
feature_dropout | 0.2 (20%)   | Autoencoder             | 0.6690        | 0.0192      
feature_dropout | 0.3 (30%)   | Autoencoder             | 0.5563        | 0.0392      
feature_dropout | 0 (0%)      | Learned mask            | 0.7660        | 0.0168      
feature_dropout | 0.05 (5%)   | Learned mask            | 0.7457        | 0.0358      
feature_dropout | 0.1 (10%)   | Learned mask            | 0.7487        | 0.0366      
feature_dropout | 0.2 (20%)   | Learned mask            | 0.7310        | 0.0361      
feature_dropout | 0.3 (30%)   | Learned mask            | 0.7183        | 0.0317      
----------------+-------------+-------------------------+---------------+-------------
bit_flip        | 0 (0%)      | No selection            | 0.8093        | 0.0054      
bit_flip        | 0.01 (1%)   | No selection            | 0.7927        | 0.0076      
bit_flip        | 0.03 (3%)   | No selection            | 0.7640        | 0.0022      
bit_flip        | 0.05 (5%)   | No selection            | 0.7450        | 0.0075      
bit_flip        | 0.1 (10%)   | No selection            | 0.6780        | 0.0171      
bit_flip        | 0 (0%)      | Raw l1                  | 0.7897        | 0.0058      
bit_flip        | 0.01 (1%)   | Raw l1                  | 0.7637        | 0.0025      
bit_flip        | 0.03 (3%)   | Raw l1                  | 0.7350        | 0.0065      
bit_flip        | 0.05 (5%)   | Raw l1                  | 0.7143        | 0.0116      
bit_flip        | 0.1 (10%)   | Raw l1                  | 0.6463        | 0.0221      
bit_flip        | 0 (0%)      | Graph-aware l1          | 0.7880        | 0.0065      
bit_flip        | 0.01 (1%)   | Graph-aware l1          | 0.7750        | 0.0070      
bit_flip        | 0.03 (3%)   | Graph-aware l1          | 0.7483        | 0.0127      
bit_flip        | 0.05 (5%)   | Graph-aware l1          | 0.7147        | 0.0138      
bit_flip        | 0.1 (10%)   | Graph-aware l1          | 0.6737        | 0.0185      
bit_flip        | 0 (0%)      | Raw mutual_info         | 0.7680        | 0.0135      
bit_flip        | 0.01 (1%)   | Raw mutual_info         | 0.7493        | 0.0164      
bit_flip        | 0.03 (3%)   | Raw mutual_info         | 0.7087        | 0.0205      
bit_flip        | 0.05 (5%)   | Raw mutual_info         | 0.6813        | 0.0167      
bit_flip        | 0.1 (10%)   | Raw mutual_info         | 0.5973        | 0.0397      
bit_flip        | 0 (0%)      | Graph-aware mutual_info | 0.7933        | 0.0093      
bit_flip        | 0.01 (1%)   | Graph-aware mutual_info | 0.7680        | 0.0071      
bit_flip        | 0.03 (3%)   | Graph-aware mutual_info | 0.7200        | 0.0085      
bit_flip        | 0.05 (5%)   | Graph-aware mutual_info | 0.6920        | 0.0094      
bit_flip        | 0.1 (10%)   | Graph-aware mutual_info | 0.6407        | 0.0259      
bit_flip        | 0 (0%)      | PCA                     | 0.7840        | 0.0070      
bit_flip        | 0.01 (1%)   | PCA                     | 0.7550        | 0.0124      
bit_flip        | 0.03 (3%)   | PCA                     | 0.7293        | 0.0066      
bit_flip        | 0.05 (5%)   | PCA                     | 0.6917        | 0.0033      
bit_flip        | 0.1 (10%)   | PCA                     | 0.6440        | 0.0187      
bit_flip        | 0 (0%)      | Autoencoder             | 0.7517        | 0.0100      
bit_flip        | 0.01 (1%)   | Autoencoder             | 0.6847        | 0.0090      
bit_flip        | 0.03 (3%)   | Autoencoder             | 0.5823        | 0.0202      
bit_flip        | 0.05 (5%)   | Autoencoder             | 0.5397        | 0.0191      
bit_flip        | 0.1 (10%)   | Autoencoder             | 0.4367        | 0.0045      
bit_flip        | 0 (0%)      | Learned mask            | 0.7660        | 0.0168      
bit_flip        | 0.01 (1%)   | Learned mask            | 0.7080        | 0.0215      
bit_flip        | 0.03 (3%)   | Learned mask            | 0.6753        | 0.0236      
bit_flip        | 0.05 (5%)   | Learned mask            | 0.6593        | 0.0213      
bit_flip        | 0.1 (10%)   | Learned mask            | 0.5783        | 0.0130      
